Condition	Subject	Session	Correct	CorrectAns	Response	RT
4_	4	4	1	17	17	6620
4_	4	4	1	18	18	1983
4_	9	4	1	1	1	1808
4_	9	4	1	2	2	3067
4_	9	4	1	3	3	2859
4_	9	4	1	4	4	2727
4_	9	4	1	5	5	9996
4_	9	4	1	6	6	4530
4_	9	4	1	7	7	2549
4_	9	4	1	8	8	1564
4_	9	4	1	9	9	2252
4_	9	4	1	10	10	9772
4_	9	4	1	11	11	1627
4_	9	4	1	12	12	1329
4_	9	4	1	13	13	2820
4_	9	4	1	14	14	1486
4_	9	4	1	15	15	1258
4_	9	4	1	16	16	2864
4_	9	4	1	17	17	2544
4_	9	4	1	18	18	3042
1_	10	2	0	1	10	3597
1_	10	2	1	2	2	1722
1_	10	2	0	3	12	10418
1_	10	2	0	4	5	2329
1_	10	2	0	5	3	2648
1_	10	2	0	6	18	2471
1_	10	2	0	7	1	1485
1_	10	2	1	8	8	2123
1_	10	2	1	9	9	2685
1_	10	2	0	10	15	8351
1_	10	2	1	11	11	3148
1_	10	2	0	12	6	2502
1_	10	2	0	13	4	1438
1_	10	2	1	14	14	2201
1_	10	2	0	15	16	8351
1_	10	2	0	16	13	12661
1_	10	2	1	17	17	8696
1_	10	2	0	18	16	7440
1_	15	1	0	1	10	3548
1_	15	1	1	2	2	2494
1_	15	1	0	3	6	1806
1_	15	1	0	4	15	2419
1_	15	1	1	5	5	3930
1_	15	1	0	6	7	1304
1_	15	1	0	7	1	1245
1_	15	1	0	8	17	1273
1_	15	1	0	9	8	1115
1_	15	1	0	10	18	2365
1_	15	1	0	11	3	1527
1_	15	1	0	12	4	963
1_	15	1	0	13	14	1267
1_	15	1	0	14	15	1098
1_	15	1	0	15	17	784
1_	15	1	0	16	12	3770
1_	15	1	0	17	16	1176
1_	15	1	0	18	17	2541
1_	25	4	0	1	6	19340
1_	25	4	1	2	2	5075
1_	25	4	0	3	15	3004
1_	25	4	0	4	14	11187
1_	25	4	1	5	5	1972
1_	25	4	0	6	17	6211
1_	25	4	0	7	2	3836
1_	25	4	1	8	8	1111
1_	25	4	0	9	3	12012
1_	25	4	1	10	10	6279
1_	25	4	0	11	17	5668
1_	25	4	0	12	4	4424
1_	25	4	0	13	4	1466
1_	25	4	0	14	9	5657
1_	25	4	0	15	13	10932
1_	25	4	0	16	13	2089
1_	25	4	0	17	7	5835
1_	25	4	0	18	15	4021
1_	30	3	0	1	10	10016
1_	30	3	0	2	18	2699
1_	30	3	0	3	6	2900
1_	30	3	0	4	17	4043
1_	30	3	1	5	5	2180
1_	30	3	0	6	16	5106
1_	30	3	0	7	17	5229
1_	30	3	1	8	8	1989
1_	30	3	0	9	7	7989
1_	30	3	0	10	3	17199
1_	30	3	0	11	1	4959
1_	30	3	0	12	10	2609
1_	30	3	0	13	11	12035
1_	30	3	0	14	18	6602
1_	30	3	0	15	1	5535
1_	30	3	0	16	15	3435
1_	30	3	0	17	6	8375
1_	30	3	0	18	15	10476
1_	5	1	1	1	1	2387
1_	5	1	0	2	7	12092
1_	5	1	1	3	3	1804
1_	5	1	0	4	12	2203
1_	5	1	1	5	5	2017
1_	5	1	0	6	16	3076
1_	5	1	0	7	9	4586
1_	5	1	1	8	8	1010
1_	5	1	0	9	18	9804
1_	5	1	0	10	2	6163
1_	5	1	0	11	17	7604
1_	5	1	0	12	4	1826
1_	5	1	1	13	13	2562
1_	5	1	0	14	10	10707
1_	5	1	1	15	15	1942
1_	5	1	0	16	11	3384
1_	5	1	0	17	6	5633
1_	5	1	0	18	7	1462
2_	10	1	1	1	1	1922
2_	10	1	1	2	2	10930
2_	10	1	1	3	3	3022
2_	10	1	0	4	10	3773
2_	10	1	1	5	5	1795
2_	10	1	1	6	6	2074
2_	10	1	1	7	7	1850
2_	10	1	0	8	4	4169
2_	10	1	0	9	18	3483
2_	10	1	0	10	8	2200
2_	10	1	1	11	11	2677
2_	10	1	0	12	18	1577
2_	10	1	1	13	13	1784
2_	10	1	1	14	14	4458
