Condition	Subject	Session	Correct	CorrectAns	Response	TestIndex	RT
3_	5	3	1	14	14	8	2419
3_	5	3	0	10	7	9	2055
3_	5	3	0	11	13	10	1803
3_	5	3	0	1	5	11	2970
3_	5	3	0	2	10	12	1776
3_	5	3	0	6	15	13	1408
3_	5	3	0	16	13	14	1409
3_	5	3	0	12	16	15	927
3_	5	3	0	9	17	16	1521
3_	5	3	0	13	8	17	1730
3_	5	3	0	5	2	18	1595
4_	5	4	0	17	10	1	1231
4_	5	4	0	12	16	2	2368
4_	5	4	0	15	6	3	2150
4_	5	4	0	16	15	4	1182
4_	5	4	1	2	2	5	2806
4_	5	4	0	8	13	6	3347
4_	5	4	1	4	4	7	1608
4_	5	4	0	11	3	8	930
4_	5	4	0	6	12	9	920
4_	5	4	0	3	18	10	2125
4_	5	4	0	14	5	11	2889
4_	5	4	0	10	14	12	3732
4_	5	4	1	13	13	13	3609
4_	5	4	1	1	1	14	1054
4_	5	4	1	9	9	15	1984
4_	5	4	0	7	18	16	2381
4_	5	4	0	18	5	17	1442
4_	5	4	0	5	17	18	2940
1_	6	1	0	18	10	1	18032
1_	6	1	0	8	16	2	7433
1_	6	1	0	17	8	3	17819
1_	6	1	0	11	17	4	3146
1_	6	1	0	6	9	5	3084
1_	6	1	0	16	13	6	3662
1_	6	1	0	2	16	7	5051
1_	6	1	1	12	12	8	1994
1_	6	1	1	1	1	9	5352
1_	6	1	0	10	4	10	4575
1_	6	1	0	9	18	11	3237
1_	6	1	1	13	13	12	5567
1_	6	1	0	15	2	13	4337
1_	6	1	0	4	1	14	3736
1_	6	1	1	3	3	15	2859
1_	6	1	0	14	16	16	4646
1_	6	1	0	5	8	17	2901
1_	6	1	1	7	7	18	1748
2_	6	2	0	11	16	1	11394
2_	6	2	0	13	1	2	6428
2_	6	2	1	6	6	3	6482
2_	6	2	0	2	7	4	6298
2_	6	2	1	10	10	5	3314
2_	6	2	0	17	8	6	8432
2_	6	2	0	8	3	7	8137
2_	6	2	0	15	18	8	7883
2_	6	2	0	3	18	9	9062
2_	6	2	0	18	17	10	7585
2_	6	2	0	9	2	11	1948
2_	6	2	0	7	15	12	5479
2_	6	2	1	4	4	13	2875
2_	6	2	0	5	9	14	5156
2_	6	2	0	16	5	15	5473
2_	6	2	1	12	12	16	9185
2_	6	2	0	1	16	17	6371
2_	6	2	0	14	1	18	5716
3_	6	3	0	18	5	1	3745
3_	6	3	0	16	18	2	2705
3_	6	3	0	6	1	3	4380
3_	6	3	0	3	15	4	1562
3_	6	3	1	10	10	5	6422
3_	6	3	0	2	8	6	4563
3_	6	3	1	17	17	7	2492
3_	6	3	1	14	14	8	2205
3_	6	3	0	12	11	9	4884
3_	6	3	0	13	16	10	3904
3_	6	3	0	8	2	11	13588
3_	6	3	0	15	3	12	6805
3_	6	3	0	7	6	13	4178
3_	6	3	0	5	4	14	2784
3_	6	3	0	1	18	15	4587
3_	6	3	0	9	15	16	6789
3_	6	3	0	4	9	17	12375
3_	6	3	0	11	5	18	6308
4_	6	4	1	1	1	1	2890
4_	6	4	0	3	14	2	2554
4_	6	4	0	10	5	3	2624
4_	6	4	1	5	5	4	2206
4_	6	4	0	6	15	5	3080
4_	6	4	0	13	9	6	2557
4_	6	4	0	15	7	7	2105
4_	6	4	0	18	11	8	2302
4_	6	4	0	8	4	9	2283
4_	6	4	0	9	6	10	1735
4_	6	4	0	11	18	11	1917
4_	6	4	0	4	14	12	6300
4_	6	4	1	17	17	13	3133
4_	6	4	0	14	2	14	4146
4_	6	4	0	16	7	15	3278
4_	6	4	0	12	13	16	4386
4_	6	4	0	7	12	17	1257
4_	6	4	0	2	16	18	5987
1_	7	1	0	11	4	1	7440
1_	7	1	1	1	1	2	1819
1_	7	1	0	13	8	3	9562
1_	7	1	0	16	14	4	1626
1_	7	1	1	8	8	5	3977
1_	7	1	0	10	13	6	8888
1_	7	1	0	18	11	7	5448
1_	7	1	0	4	17	8	1478
1_	7	1	0	12	3	9	2932
1_	7	1	0	3	4	10	4880
1_	7	1	0	9	6	11	2414
1_	7	1	0	5	18	12	3079
1_	7	1	1	7	7	13	1242
1_	7	1	0	14	9	14	3803
1_	7	1	0	17	11	15	2176
1_	7	1	0	15	2	16	6399
1_	7	1	0	6	15	17	3236
1_	7	1	0	2	5	18	6696
2_	7	2	0	7	4	1	8242
2_	7	2	0	11	3	2	1915
2_	7	2	0	14	4	3	2349
2_	7	2	0	3	2	4	2561
2_	7	2	0	8	14	5	2571
2_	7	2	0	18	13	6	3440
2_	7	2	0	2	6	7	2639
2_	7	2	0	4	7	8	3577
2_	7	2	0	1	15	9	2879
2_	7	2	0	17	9	10	2513
2_	7	2	0	15	12	11	1306
2_	7	2	0	10	1	12	2462
2_	7	2	0	13	11	13	3475
2_	7	2	0	6	10	14	2379
2_	7	2	0	16	13	15	2433
2_	7	2	0	5	17	16	2882
2_	7	2	0	9	18	17	1577
2_	7	2	0	12	8	18	8910
3_	7	3	0	11	13	1	5571
3_	7	3	0	7	8	2	2680
3_	7	3	0	13	5	3	1173
3_	7	3	0	5	18	4	2283
3_	7	3	0	12	15	5	3925
3_	7	3	0	16	12	6	4307
3_	7	3	0	14	16	7	2807
3_	7	3	0	9	4	8	1779
3_	7	3	0	2	17	9	2073
3_	7	3	0	3	2	10	2224
3_	7	3	0	8	10	11	1294
3_	7	3	0	4	9	12	5759
3_	7	3	1	1	1	13	6570
3_	7	3	0	18	6	14	6321
3_	7	3	0	10	7	15	2251
3_	7	3	0	17	10	16	2818
3_	7	3	0	15	11	17	4137
3_	7	3	0	6	13	18	2035
4_	7	4	0	17	7	1	3530
4_	7	4	0	5	12	2	6495
4_	7	4	0	4	16	3	2126
4_	7	4	0	18	6	4	3357
4_	7	4	0	3	17	5	1611
4_	7	4	0	10	1	6	1981
4_	7	4	0	8	11	7	2507
4_	7	4	0	2	6	8	3462
4_	7	4	0	12	5	9	1277
4_	7	4	0	9	8	10	1399
4_	7	4	0	14	3	11	2468
4_	7	4	1	15	15	12	1413
4_	7	4	0	7	9	13	4968
4_	7	4	0	13	3	14	1673
4_	7	4	0	6	4	15	2512
4_	7	4	0	1	10	16	4025
4_	7	4	1	11	11	17	7055
4_	7	4	0	16	14	18	4195
1_	8	1	0	17	2	1	12481
1_	8	1	0	8	12	2	15964
1_	8	1	0	5	4	3	7343
1_	8	1	0	9	13	4	3910
1_	8	1	1	10	10	5	7934
1_	8	1	0	3	8	6	8255
1_	8	1	0	18	14	7	8490
1_	8	1	1	1	1	8	1289
1_	8	1	0	16	5	9	4595
1_	8	1	0	15	18	10	14545
1_	8	1	0	2	11	11	6744
1_	8	1	0	4	16	12	15193
1_	8	1	0	12	15	13	7938
1_	8	1	0	7	3	14	11324
1_	8	1	0	13	8	15	7832
1_	8	1	1	6	6	16	11594
1_	8	1	0	14	4	17	3763
1_	8	1	0	11	15	18	7062
2_	8	2	0	16	10	1	8808
2_	8	2	0	13	16	2	11362
2_	8	2	0	3	4	3	9106
2_	8	2	0	9	11	4	8086
2_	8	2	0	1	13	5	8227
2_	8	2	1	15	15	6	4325
2_	8	2	0	6	18	7	2422
2_	8	2	0	17	14	8	8389
2_	8	2	0	4	2	9	5119
2_	8	2	0	10	3	10	11223
2_	8	2	0	5	17	11	8725
2_	8	2	1	12	12	12	5146
2_	8	2	0	11	1	13	7690
2_	8	2	1	7	7	14	4468
2_	8	2	0	18	6	15	12515
2_	8	2	0	14	5	16	3482
2_	8	2	0	8	9	17	3317
2_	8	2	0	2	13	18	12230
3_	8	3	0	4	5	1	5568
3_	8	3	1	8	8	2	2528
3_	8	3	1	2	2	3	2430
3_	8	3	0	17	18	4	9241
3_	8	3	1	12	12	5	1611
3_	8	3	1	15	15	6	1549
3_	8	3	0	5	4	7	1499
3_	8	3	1	14	14	8	3877
3_	8	3	0	11	6	9	15473
3_	8	3	1	16	16	10	1878
3_	8	3	0	9	11	11	4411
3_	8	3	0	18	9	12	10917
3_	8	3	1	10	10	13	3301
3_	8	3	1	13	13	14	6545
3_	8	3	0	6	3	15	10466
3_	8	3	1	3	3	16	2233
3_	8	3	1	7	7	17	1948
3_	8	3	1	1	1	18	1992
4_	8	4	0	5	3	1	3992
4_	8	4	1	12	12	2	7337
4_	8	4	0	8	7	3	4282
4_	8	4	1	6	6	4	7272
4_	8	4	1	14	14	5	2645
4_	8	4	0	10	2	6	8876
4_	8	4	0	16	11	7	2828
4_	8	4	1	17	17	8	7051
4_	8	4	0	3	13	9	3665
4_	8	4	1	15	15	10	2457
